Edinburgh,Londom,EDN-LDN-0,Virgin,64,2941.1194,4049.6746,3528387
Edinburgh,Costa Rica,EDN-CRA-0,British Airways,123,782.2926,4875.635,4997180
Edinburgh,Phuket,EDN-RKT-0,Ryanair,75,637.0582,3438.3184,4103464
Edinburgh,Stockholm,EDN-SKM-0,United Airlines,98,4802.4087,2202.8372,6500251
Edinburgh,Costa Rica,EDN-CRA-1,BlueJet,138,1836.5388,2316.836,6535035
Edinburgh,Rio de Janeiro,EDN-RDJ-0,Ryanair,157,1060.3074,4286.9854,6013499
Edinburgh,Rio de Janeiro,EDN-RDJ-1,Delta Air Lines,196,3295.0032,3746.0183,5310990
Edinburgh,Maldives,EDN-MLD-0,United Airlines,194,3289.729,2215.5198,5403551
Edinburgh,Dubai,EDN-DBI-0,Delta Air Lines,66,1167.8258,2420.7917,6878781
Edinburgh,Paris,EDN-PRI-0,Frontier Airlines,138,4548.2827,3580.3967,3909236
Edinburgh,Dubai,EDN-DBI-1,British Airways,179,1153.9708,1529.0588,6570659
Edinburgh,Berlin,EDN-BLN-0,British Airways,135,2942.7075,2699.2312,4344141
Edinburgh,Rio de Janeiro,EDN-RDJ-2,EasyJet,199,676.12537,4254.037,5915689
Edinburgh,Rio de Janeiro,EDN-RDJ-3,British Airways,77,4457.8486,3474.9688,4413180
Edinburgh,Berlin,EDN-BLN-1,Delta Air Lines,178,2727.922,3524.724,6653656
Edinburgh,Phuket,EDN-RKT-1,Virgin,57,1520.6527,2462.6685,4864963
Edinburgh,Berlin,EDN-BLN-2,BlueJet,153,2649.5203,2427.2488,5904423
Edinburgh,Tahiti,EDN-THI-0,United Airlines,167,2207.4185,3504.3591,5764299
Edinburgh,Maldives,EDN-MLD-1,Virgin,58,4314.4746,4998.6157,4289421
Edinburgh,Berlin,EDN-BLN-3,United Airlines,147,4829.729,4643.342,4797905
Edinburgh,Berlin,EDN-BLN-4,EasyJet,66,4768.167,2089.5261,6182160
Edinburgh,Londom,EDN-LDN-1,Frontier Airlines,172,2799.5286,3847.3926,3397083
Edinburgh,Phuket,EDN-RKT-2,Ryanair,69,4237.8833,2236.833,3450987
Edinburgh,Stockholm,EDN-SKM-1,Delta Air Lines,185,3769.0203,1929.8049,6187039
Edinburgh,Santorini,EDN-STI-0,EasyJet,97,990.93225,3512.7012,4757339
Edinburgh,Tahiti,EDN-THI-1,Virgin,175,1588.353,1570.9314,6904403
Edinburgh,Paris,EDN-PRI-1,Virgin,148,4596.1553,3827.1057,5330537
Edinburgh,Phuket,EDN-RKT-3,Virgin,107,3700.1694,4037.6194,3950746
Edinburgh,Paris,EDN-PRI-2,Ryanair,100,1709.2227,3964.9387,5738047
Edinburgh,Paris,EDN-PRI-3,Virgin,199,3951.295,1889.7034,3096128
Edinburgh,Dubai,EDN-DBI-2,British Airways,128,3258.7505,3027.2876,5027493
Edinburgh,Maldives,EDN-MLD-2,Virgin,184,4509.2305,3631.3906,5876342
Edinburgh,Paris,EDN-PRI-4,Virgin,177,2431.291,3058.5186,5190672
Edinburgh,Londom,EDN-LDN-2,Virgin,169,4615.3643,4430.0986,5741260
Edinburgh,Londom,EDN-LDN-3,Ryanair,50,3703.5918,3843.36,3584772
Edinburgh,Paris,EDN-PRI-5,Frontier Airlines,167,2333.377,2119.0986,6247868
Edinburgh,Costa Rica,EDN-CRA-2,Delta Air Lines,100,3532.2935,3119.483,6074198
Edinburgh,Berlin,EDN-BLN-5,Virgin,123,3985.2598,2445.4053,6225885
Edinburgh,Santorini,EDN-STI-1,Delta Air Lines,112,1608.779,4715.9507,6497111
Edinburgh,Santorini,EDN-STI-2,Ryanair,151,2138.482,4806.959,3989751
Edinburgh,Phuket,EDN-RKT-4,Delta Air Lines,149,4611.697,2692.7502,4821302
Edinburgh,Tahiti,EDN-THI-2,United Airlines,73,1275.6227,4468.5107,3878789
Edinburgh,Berlin,EDN-BLN-6,Frontier Airlines,194,1425.4281,4444.3433,4178633
Edinburgh,Phuket,EDN-RKT-5,BlueJet,184,4656.35,1793.1865,5666030
Edinburgh,Berlin,EDN-BLN-7,Frontier Airlines,179,4740.3804,3065.3435,5938212
Edinburgh,Maldives,EDN-MLD-3,Virgin,63,564.8853,2004.8196,6111072
Edinburgh,Costa Rica,EDN-CRA-3,BlueJet,154,4453.4756,3160.0747,6115129
Edinburgh,Stockholm,EDN-SKM-2,Delta Air Lines,87,2122.497,2197.2957,4006923
Edinburgh,Phuket,EDN-RKT-6,British Airways,121,2354.8525,4162.538,4671050
Edinburgh,Phuket,EDN-RKT-7,Frontier Airlines,89,4562.439,3062.9436,6785685
Edinburgh,Costa Rica,EDN-CRA-4,Virgin,130,1722.0632,4798.4297,4539795
Edinburgh,Stockholm,EDN-SKM-3,Ryanair,59,4796.888,2867.9565,5841509
Edinburgh,Paris,EDN-PRI-6,BlueJet,56,3765.4949,4347.045,3337174
Edinburgh,Londom,EDN-LDN-4,Ryanair,54,3914.5552,1593.6675,4377292
Edinburgh,Phuket,EDN-RKT-8,British Airways,176,3240.2896,4605.5137,3459454
Edinburgh,Tahiti,EDN-THI-3,Virgin,194,1900.9204,3086.9434,3397335
Edinburgh,Paris,EDN-PRI-7,United Airlines,172,4689.5776,2029.7407,6345807
Edinburgh,Maldives,EDN-MLD-4,British Airways,59,2767.5413,2258.7905,5502419
Edinburgh,Berlin,EDN-BLN-8,British Airways,50,3932.6377,2261.0532,4721564
Edinburgh,Dubai,EDN-DBI-3,Virgin,127,4364.1865,4989.338,3884819
Edinburgh,Rio de Janeiro,EDN-RDJ-4,Frontier Airlines,87,2898.0288,2582.0269,4233029
Edinburgh,Phuket,EDN-RKT-9,British Airways,126,1059.071,2380.6155,6294387
Edinburgh,Phuket,EDN-RKT-10,BlueJet,132,2806.3103,4692.687,6550608
Edinburgh,Rio de Janeiro,EDN-RDJ-5,Virgin,75,4644.1895,2450.9258,6116285
Edinburgh,Tahiti,EDN-THI-4,EasyJet,152,3477.5208,2324.5334,4211986
Edinburgh,Paris,EDN-PRI-8,Frontier Airlines,182,3620.4304,2430.2002,5867033
Edinburgh,Dubai,EDN-DBI-4,Ryanair,76,4114.9824,3606.239,5595739
Edinburgh,Rio de Janeiro,EDN-RDJ-6,Virgin,92,4361.1807,3552.5955,3616584
Edinburgh,Tahiti,EDN-THI-5,Frontier Airlines,64,1856.4221,2854.7124,5789952
Edinburgh,Stockholm,EDN-SKM-4,BlueJet,61,1143.6263,4497.9272,6755774
Edinburgh,Stockholm,EDN-SKM-5,Frontier Airlines,122,3485.1382,3158.3135,5019812
Edinburgh,Paris,EDN-PRI-9,British Airways,199,2078.6726,2918.578,5264215
Edinburgh,Dubai,EDN-DBI-5,Frontier Airlines,180,1624.5065,2666.7534,6929659
Edinburgh,Rio de Janeiro,EDN-RDJ-7,EasyJet,174,3897.857,2353.5225,4744107
Edinburgh,Paris,EDN-PRI-10,British Airways,94,1157.2067,4052.5457,6523267
Edinburgh,Stockholm,EDN-SKM-6,EasyJet,174,4757.928,3240.4849,4958916
Edinburgh,Costa Rica,EDN-CRA-5,Frontier Airlines,97,1292.0347,3911.32,3033097
Edinburgh,Phuket,EDN-RKT-11,Frontier Airlines,146,2769.7993,2444.358,4878135
Edinburgh,Dubai,EDN-DBI-6,British Airways,178,3164.1047,2648.934,3434543
Edinburgh,Maldives,EDN-MLD-5,EasyJet,118,2721.8691,4642.3774,5143751
Edinburgh,Paris,EDN-PRI-11,BlueJet,173,2983.9187,3239.7524,3701759
